Index,Value
1,0
2,2
3,8
4,55
5,0
6,0
7,1
8,94
9,1
10,313
11,1
12,0
13,2
14,49
15,9
16,91
17,29
18,0
19,4
20,1
21,1
22,1
23,0
24,2
25,1
26,34
27,43
28,0
29,36
30,15
31,14
32,32
33,2
34,1
35,2
36,2
37,0
38,2
39,1
40,1
41,34
42,0
43,1
44,9
45,9
46,2
47,2
48,12
49,3
50,1
51,1
52,2
53,67
54,0
55,27
56,1
57,1
58,3
59,164
60,2
61,4
62,3
63,0
64,6
65,1
66,11
67,31
68,52
69,13
70,0
71,18
72,1311
73,77
74,2
75,3
76,7
77,12
78,50
79,7
80,1
81,2
82,1
83,3
84,4
85,0
86,114
87,0
88,2
89,0
90,7
91,4
92,2
93,14
94,1
95,2
96,26
97,10
98,10
99,1
100,40
101,2
102,5
103,4
104,0
105,0
106,2
107,1
108,4
109,5
110,5
111,11
112,7
113,4
114,146
115,0
116,0
117,3
118,0
119,0
120,7
121,11
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,6
130,37
131,1
132,0
133,3
134,0
135,41
136,0
137,7
138,1
139,1
140,1
141,3
142,37
143,6
144,1
145,0
146,1
147,0
148,30
149,1
150,0
151,0
152,3
153,1
154,1
155,6
156,0
157,0
158,0
159,3
160,1
161,50
162,1
163,131
164,0
165,1
166,0
167,0
168,7
169,0
170,1
171,2
172,0
173,0
174,0
175,55
176,45
177,38
178,0
179,0
180,23
181,1
182,148
183,1
184,2
185,0
186,38
187,0
188,0
189,100
190,1
191,23
192,0
193,0
194,0
195,62
196,6
197,1
198,0
199,6
200,1
201,3
202,6
203,0
204,3
205,1
206,1
207,0
208,1
209,1
210,2
211,46
212,0
213,1
214,2
215,5
216,3
217,1
218,1
219,6
220,2
221,5
222,0
223,1
224,6
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,1
236,29
237,1
238,1
239,1
240,6
241,7
242,5
243,3
244,15
245,47
246,5
247,1
248,1
249,1
250,1
251,0
252,39
253,2
254,8
255,8
256,15
257,4
258,6
259,18
260,1
261,7
262,10
263,2
264,0
265,0
266,2
267,22
268,7
269,5
270,8
271,0
272,31
273,31
274,4
275,74
276,16
277,0
278,2
279,155
280,1
281,14
282,39
283,3
284,56
285,3
286,3
287,2
288,1
289,0
290,0
291,4
292,1
293,6
294,6
295,1
296,41
297,123
298,0
299,0
300,0
301,5
302,0
303,0
304,120
305,0
306,0
307,3
308,1
309,41
310,2
311,6
312,4
313,131
314,3
315,5
316,30
317,6
318,4
319,29
320,75
321,37
322,17
323,1
324,59
325,1
326,2
327,4
328,40
329,11
330,3
331,1
332,1
333,0
334,18
335,32
336,20
337,92
338,6
339,26
340,709
341,2
342,4
343,20
344,1
345,2
346,2
347,1
348,1
349,46
350,120
351,3
352,5
353,2
354,183
355,7
356,69
357,1
358,11
359,4
360,4
361,2
362,9
363,124
364,1
365,53
366,0
367,1
368,0
369,30
370,5
371,0
372,0
373,40
374,1
375,0
376,0
377,2
378,65
379,3
380,91
381,3
382,14
383,94
384,11
385,8
386,71
387,85
388,1
389,1
390,60
391,67
392,1
393,1
394,1
395,5
396,2
397,9
398,13
399,8
400,31
401,2
402,8
403,2421
404,28
405,6
406,13
407,237
408,90
409,77
410,2
411,4
412,2
413,0
414,0
415,176
416,9
417,2
418,47
419,23
420,8
421,15
422,0
423,39
424,58
425,6
426,112
427,9
428,6
429,3
430,20
431,3
432,3
433,4
434,59
435,39
436,0
437,29
438,54
439,0
440,7
441,25
442,25
443,15
444,4
445,2
446,5
447,4
448,2
449,6
450,6
451,2
452,0
453,21
454,9
455,2
456,0
457,386
458,78
459,10
460,5
461,3
462,0
463,1
464,1
465,1
466,0
467,26
468,1
469,1
470,2
471,100
472,21
473,7
474,11
475,19
476,1
477,1
478,59
479,8
480,5
481,4
482,6
483,5
484,23
485,30
486,7
487,2
488,1
489,6
490,0
491,0
492,1
493,57
494,4
495,31
496,2
497,4
498,3
499,14
500,17
501,104
502,17
503,67
504,41
505,4
506,3
507,0
508,2
509,4
510,8
511,6
512,54
513,110
514,52
515,138
516,3
517,0
518,1
519,3
520,7
521,46
522,23
523,3
524,1
525,0
526,3
527,0
528,2
529,81
530,44
531,0
532,0
533,1
534,17
535,6
536,8
537,14
538,8
539,49
540,60
541,32
542,0
543,0
544,0
545,1
546,3
547,1
548,0
549,10
550,5
551,1
552,861
553,21
554,12
555,23
556,1
557,23
558,1
559,0
560,46
561,59
562,4
563,2
564,154
565,10
566,45
567,1
568,129
569,0
570,1
571,1
572,3
573,6
574,1
575,2
576,5
577,2
578,0
579,6
580,5
581,1
582,20
583,29
584,456
585,223
586,23
587,2
588,3
589,6
590,11
591,23
592,0
593,46
594,1
595,0
596,22
597,0
598,4
599,185
600,22
601,1
602,86
603,276
604,182
605,55
606,2
607,4
608,12
609,4
610,5
611,90
612,19
613,2
614,12
615,1
616,69
617,22
618,85
619,2
620,0
621,1
622,2
623,1
624,95
625,20
626,15
627,5
628,3
629,1
630,0
631,5
632,2
633,35
634,0
635,0
636,2
637,1
638,2
639,1
640,2
641,1
642,6
643,0
644,55
645,0
646,3
647,4
648,1
649,48
650,1
651,4
652,19
653,3
654,5
655,7
656,0
657,6
658,18
659,4
660,0
661,0
662,3
663,1
664,69
665,122
666,65
667,3
668,0
669,0
670,1
671,1
672,0
673,1
674,5
675,4
676,13
677,5
678,0
679,18
680,4
681,1
682,94
683,85
684,0
685,1
686,0
687,0
688,2
689,80
690,33
691,35
692,1
693,1
694,1
695,41
696,42
697,6
698,1
699,3
700,7
701,1
702,52
703,1
704,4
705,6
706,0
707,0
708,54
709,94
710,2
711,0
712,1
713,0
714,4
715,58
716,2
717,1
718,4
719,1
720,4
721,177
722,45
723,2
724,2
725,1
726,3
727,1
728,13
729,0
730,0
731,2
732,1
733,0
734,62
735,4
736,0
737,0
738,7
739,1
740,5
741,1
742,0
743,0
744,1
745,3
746,34
747,0
748,0
749,1
750,0
751,29
752,14
753,0
754,3
755,36
756,552
757,1
758,3
759,0
760,0
761,23
762,1
763,0
764,81
765,3
766,4
767,122
768,4
769,0
770,1
771,74
772,10
773,11
774,5
775,5
776,1
777,10
778,9
779,8
780,1
781,0
782,2
783,1
784,2
785,1
786,0
787,1
788,7
789,1
790,0
791,3
792,3
793,49
794,0
795,96
796,92
797,1
798,1
799,0
800,0
801,54
802,3
803,3
804,0
805,0
806,1
807,1
808,0
809,22
810,56
811,3
812,0
813,10
814,7
815,0
816,0
817,87
818,1
819,1
820,69
821,43
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,0
830,0
831,1
832,45
833,1
834,3
835,1
836,1
837,43
838,1
839,1
840,3
841,1
842,0
843,0
844,2
845,1
846,4
847,0
848,0
849,3
850,31
851,1
852,3
853,0
854,0
855,0
856,0
857,39
858,1
859,47
860,0
861,0
862,0
863,2
864,9
865,0
866,16
867,0
868,15
869,1
870,1
871,0
872,0
873,6
874,1
875,10
876,1
877,0
878,1
879,0
880,5
881,0
882,1
883,44
884,81
885,0
886,50
887,8
888,194
889,9
890,0
891,2
892,49
893,1
894,64
895,5
896,4
897,1
898,45
899,2
900,1
901,1
902,72
903,1
904,3
905,9
906,43
907,6
908,0
909,0
910,42
911,1
912,59
913,59
914,1
915,4
916,151
917,27
918,2
919,1
920,3
921,7
922,201
923,20
924,49
925,101
926,2
927,73
928,0
929,0
930,1
931,0
932,0
933,44
934,1
935,4
936,6
937,4
938,1
939,2
940,2
941,83
942,11
943,4
944,12
945,8
946,1
947,0
948,0
949,0
950,2
951,2
952,6
953,25
954,377
955,60
956,1
957,0
958,321
959,46
960,4
961,1
962,2
963,0
964,4
965,22
966,34
967,4
968,15
969,412
970,69
971,28
972,38
973,2
974,41
975,0
976,74
977,34
978,4
979,51
980,1
981,3
982,1
983,10
984,0
985,0
986,157
987,57
988,1
989,0
990,1
991,0
992,25
993,572
994,351
995,6
996,71
997,4
998,9
999,1
1000,1
1001,1
1002,0
1003,43
1004,25
1005,50
1006,4
1007,13
1008,24
1009,17
1010,2
1011,102
1012,1
1013,200
1014,0
1015,19
1016,0
1017,5
1018,3
1019,23
1020,19
1021,1
1022,9
1023,18
1024,0
1025,0
1026,11
1027,0
1028,0
1029,61
1030,0
1031,0
1032,2
1033,0
1034,72
1035,2
1036,51
1037,6
1038,19
1039,14
1040,2
1041,259
1042,4
1043,24
1044,1
1045,2
1046,78
1047,2
1048,1
1049,4
1050,0
1051,1
1052,4
1053,1
1054,5
1055,1
1056,2
1057,1
1058,85
1059,1
1060,8
1061,1
1062,2
1063,971
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,56
1071,1
1072,12
1073,159
1074,0
1075,4
1076,59
1077,151
1078,58
1079,0
1080,2
1081,1
1082,0
1083,2
1084,97
1085,0
1086,111
1087,152
1088,0
1089,176
1090,3
1091,85
1092,491
1093,1
1094,3
1095,54
1096,2
1097,138
1098,7
1099,0
1100,1
1101,157
1102,0
1103,17
1104,98
1105,1
1106,82
1107,0
1108,1
1109,155
1110,1
1111,1
1112,1
1113,0
1114,0
1115,173
1116,72
1117,2
1118,1
1119,22
1120,24
1121,36
1122,2
1123,12
1124,18
1125,8
1126,1
1127,1
1128,2
1129,2
1130,13
1131,18
1132,9
1133,11
1134,19
1135,2
1136,0
1137,15
1138,1
1139,2
1140,122
1141,137
1142,1
1143,2
1144,1
1145,0
1146,141
1147,1
1148,15
1149,0
1150,0
1151,1
1152,1
1153,60
1154,4
1155,0
1156,2
1157,1
1158,246
1159,0
1160,11
1161,88
1162,1
1163,59
1164,0
1165,1
1166,24
1167,8
1168,199
1169,6
1170,28
1171,0
1172,0
1173,1
1174,54
1175,1
1176,1
1177,37
1178,10
1179,1
1180,2
1181,6
1182,608
1183,2
1184,0
1185,1
1186,1
1187,0
1188,882
1189,1
1190,0
1191,0
1192,0
1193,2
1194,34
1195,7
1196,61
1197,4
1198,99
1199,1
1200,1
1201,0
1202,1
1203,158
1204,0
1205,0
1206,51
1207,0
1208,1
1209,0
1210,0
1211,0
1212,51
1213,1
1214,117
1215,5
1216,13
1217,22
1218,6
1219,3
1220,0
1221,3
1222,4
1223,11
1224,7
1225,27
1226,85
1227,4
1228,46
1229,898
1230,1
1231,1
1232,59
1233,0
1234,131
1235,0
1236,2
1237,139
1238,1
1239,9
1240,47
1241,1
1242,2
1243,0
1244,0
1245,4
1246,70
1247,147
1248,72
1249,39
1250,0
1251,2
1252,79
1253,196
1254,0
1255,6
1256,0
1257,0
1258,0
1259,92
1260,2
1261,1
1262,0
1263,3
1264,0
1265,16
1266,24
1267,26
1268,1
1269,8
1270,86
1271,3
1272,1
1273,0
1274,0
1275,0
1276,0
1277,1
1278,145
1279,0
1280,0
1281,157
1282,0
1283,0
1284,0
1285,0
1286,66
1287,0
1288,64
1289,1
1290,55
1291,0
1292,136
1293,0
1294,50
1295,0
1296,69
1297,0
1298,0
1299,1
1300,7
1301,53
1302,28
1303,2
1304,16
1305,16
1306,87
1307,1
1308,2
1309,1
1310,2
1311,0
1312,132
1313,1
1314,0
1315,0
1316,30
1317,32
1318,0
1319,1
1320,0
1321,2
1322,0
1323,1
1324,1
1325,0
1326,20
1327,47
1328,2
1329,1
1330,56
1331,3
1332,190
1333,0
1334,0
1335,0
1336,3
1337,1
1338,73
1339,12
1340,1
1341,119
1342,4
1343,12
1344,2
1345,2
1346,3
1347,67
1348,0
1349,15
1350,0
1351,6
1352,2
1353,102
1354,1
1355,2
1356,21
1357,17
1358,5
1359,1
1360,4
1361,4
1362,1
1363,1
1364,54
1365,0
1366,14
1367,3
1368,207
1369,1
1370,51
1371,0
1372,0
1373,0
1374,71
1375,0
1376,0
1377,1
1378,5
1379,0
1380,1
1381,1
1382,3
1383,0
1384,1
1385,1
1386,79
1387,1
1388,0
1389,0
1390,0
1391,1
1392,148
1393,2
1394,2
1395,4
1396,0
1397,0
1398,1
1399,1
1400,147
1401,366
1402,61
1403,99
1404,96
1405,2
1406,1
1407,1
1408,0
1409,5
1410,0
1411,0
1412,0
1413,0
1414,11
1415,0
1416,3
1417,2
1418,16
1419,2
1420,15
1421,4
1422,8
1423,9
1424,9
1425,2
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,4
1436,7
1437,336
1438,11
1439,14
1440,414
1441,3
1442,9
1443,0
1444,9
1445,77
1446,50
1447,52
1448,13
1449,20
1450,6
1451,9
1452,30
1453,23
1454,1
1455,2
1456,0
1457,99
1458,0
1459,66
1460,46
1461,0
1462,2
1463,0
1464,0
1465,128
1466,10
1467,1
1468,139
1469,56
1470,77
1471,9
1472,6
1473,1
1474,49
1475,14
1476,0
1477,1
1478,0
1479,3
1480,146
1481,2
1482,9
1483,2
1484,63
1485,1
1486,0
1487,4
1488,7
1489,60
1490,408
1491,5
1492,2
1493,5
1494,73
1495,5
1496,1
1497,1
1498,0
1499,0
1500,1
1501,60
1502,1
1503,0
1504,62
1505,109
1506,58
1507,68
1508,6
1509,9
1510,24
1511,2
1512,5
1513,1262
1514,8
1515,2
1516,36
1517,2
1518,12
1519,59
1520,1
1521,0
1522,0
1523,127
1524,0
1525,0
1526,2
1527,205
1528,121
1529,2
1530,0
1531,0
1532,49
1533,439
1534,32
1535,0
1536,12
1537,15
1538,4
1539,29
1540,4
1541,81
1542,0
1543,1
1544,40
1545,4
1546,6
1547,68
1548,49
1549,20
1550,151
1551,131
1552,37
1553,72
1554,3
1555,0
1556,127
1557,6
1558,396
1559,9
1560,1
1561,8
1562,3
1563,42
1564,8
1565,176
1566,1
1567,82
1568,0
1569,127
1570,85
1571,1
1572,1
1573,0
1574,0
1575,48
1576,0
1577,80
1578,174
1579,125
1580,32
1581,51
1582,114
1583,67
1584,37
1585,29
1586,22
1587,52
1588,5
1589,2
1590,1
1591,10
1592,0
1593,349
1594,0
1595,57
1596,1
1597,0
1598,0
1599,0
1600,4
1601,0
1602,0
1603,24
1604,29
1605,1
1606,9
1607,3
1608,3
1609,84
1610,6
1611,14
1612,15
1613,88
1614,14
1615,21
1616,10
1617,1
1618,0
1619,50
1620,51
1621,0
1622,0
1623,0
1624,0
1625,18
1626,5
1627,0
1628,130
1629,9
1630,2
1631,0
1632,0
1633,63
1634,130
1635,14
1636,9
1637,13
1638,64
1639,37
1640,122
1641,2
1642,55
1643,1
1644,2
1645,61
1646,0
1647,0
1648,0
1649,31
1650,7
1651,6
1652,6
1653,1
1654,11
1655,1
1656,4
1657,90
1658,1
1659,3
1660,85
1661,1
1662,173
1663,34
1664,7
1665,7
1666,6
1667,1
1668,9
1669,56
1670,0
1671,3
1672,0
1673,28
1674,21
1675,20
1676,138
1677,41
1678,1
1679,9
1680,26
1681,16
1682,0
1683,1
1684,286
1685,8
1686,78
1687,1
1688,5
1689,2
1690,125
1691,42
1692,13
1693,1
1694,2
1695,4
1696,69
1697,14
1698,7
1699,2
1700,0
1701,7
1702,1
1703,15
1704,0
1705,0
1706,296
1707,2
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,429
1716,1
1717,25
1718,77
1719,1
1720,8
1721,1
1722,1
1723,2
1724,60
1725,133
1726,2
1727,12
1728,24
1729,158
1730,1
1731,9
1732,67
