Index,Value
1,51
2,467
3,244
4,322
5,119
6,52
7,249
8,98
9,43
10,59
11,88
12,49
13,85
14,76
15,59
16,126
17,363
18,121
19,151
20,575
21,70
22,75
23,203
24,262
25,90
26,122
27,92
28,12
29,95
30,1764
31,658
32,220
33,155
34,48
35,59
36,190
37,72
38,104
39,87
40,35
41,77
42,74
43,146
44,68
45,331
46,205
47,178
48,449
49,145
50,70
51,80
52,104
53,63
54,89
55,56
56,32
57,39
58,38
59,46
60,141
61,307
62,167
63,50
64,57
65,67
66,90
67,501
68,233
69,429
70,1918
71,874
72,1
73,150
74,17
75,112
76,97
77,49
78,143
79,150
80,118
81,70
82,152
83,99
84,77
85,54
86,114
87,165
88,100
89,52
90,136
91,207
92,112
93,166
94,48
95,39
96,296
97,166
98,108
99,166
100,84
101,137
102,325
103,36
104,6
105,2
106,29
107,53
108,15
109,4
110,91
111,44
112,48
113,7
114,16
115,9
116,13
117,34
118,46
119,29
120,26
121,13
122,79
123,79
124,50
125,31
126,43
127,16
128,40
129,88
130,129
131,116
132,87
133,77
134,73
135,107
136,49
137,73
138,29
139,42
140,19
141,113
142,80
143,58
144,45
145,22
146,37
147,61
148,121
149,10
150,69
151,22
152,97
153,19
154,33
155,43
156,20
157,22
158,27
159,34
160,73
161,43
162,63
163,53
164,53
165,36
166,26
167,77
168,48
169,132
170,38
171,105
172,37
173,34
174,10
175,235
176,273
177,162
178,11
179,79
180,126
181,33
182,86
183,25
184,24
185,35
186,157
187,63
188,17
189,90
190,189
191,54
192,37
193,11
194,15
195,18
196,21
197,16
198,11
199,46
200,25
201,180
202,74
203,25
204,23
205,70
206,13
207,128
208,19
209,45
210,40
211,73
212,33
213,37
214,40
215,27
216,29
217,41
218,208
219,89
220,281
221,66
222,18
223,16
224,108
225,24
226,4
227,29
228,31
229,32
230,0
231,56
232,60
233,57
234,44
235,53
236,45
237,24
238,22
239,87
240,195
241,132
242,361
243,59
244,483
245,91
246,60
247,34
248,62
249,30
250,41
251,162
252,539
253,52
254,346
255,319
256,464
257,155
258,133
259,83
260,25
261,179
262,51
263,19
264,179
265,11
266,20
267,103
268,69
269,44
270,33
271,45
272,126
273,68
274,67
275,360
276,16
277,22
278,146
279,49
280,397
281,263
282,875
283,73
284,449
285,122
286,133
287,97
288,196
289,328
290,47
291,188
292,21
293,29
294,219
295,244
296,2503
297,70
298,48
299,147
300,496
301,180
302,0
303,0
304,2996
305,4
306,55
307,464
308,76
309,119
310,216
311,277
312,299
313,352
314,230
315,390
316,734
317,268
318,247
319,203
320,373
321,823
322,142
323,38
324,657
325,34
326,62
327,277
328,200
329,204
330,107
331,60
332,147
333,88
334,62
335,678
336,260
337,959
338,154
339,66
340,76
341,122
342,221
343,110
344,47
345,82
346,50
347,46
348,235
349,166
350,193
351,742
352,174
353,59
354,194
355,119
356,151
357,50
358,153
359,220
360,600
361,169
362,796
363,1656
364,82
365,102
366,18
367,67
368,57
369,104
370,40
371,1
372,160
373,263
374,73
375,6
376,85
377,15
378,63
379,23
380,42
381,57
382,668
383,1314
384,643
385,217
386,353
387,338
388,237
389,112
390,156
391,80
392,314
393,20
394,510
395,241
396,90
397,151
398,550
399,45
400,283
401,100
402,809
403,1887
404,784
405,354
406,3163
407,157
408,61
409,65
410,83
411,111
412,37
413,28
414,128
415,28
416,328
417,66
418,49
419,121
420,206
421,50
422,36
423,370
424,490
425,326
426,514
427,323
428,166
429,158
430,1110
431,1783
432,391
433,2309
434,513
435,1125
436,32
437,926
438,1188
439,7
440,234
441,1182
442,1569
443,2088
444,775
445,117
446,888
447,328
448,809
449,448
450,254
451,726
452,370
453,720
454,705
455,776
456,193
457,430
458,847
459,267
460,243
461,512
462,599
463,114
464,1871
465,245
466,152
467,213
468,227
469,263
470,183
471,925
472,510
473,350
474,662
475,749
476,98
477,164
478,477
479,581
480,827
481,389
482,295
483,608
484,436
485,1546
486,665
487,81
488,203
489,384
490,150
491,90
492,534
493,2465
494,278
495,2026
496,133
497,826
498,215
499,1028
500,1232
501,2095
502,949
503,2190
504,374
505,288
506,264
507,1283
508,344
509,522
510,588
511,331
512,1308
513,3163
514,4630
515,4820
516,254
517,0
518,334
519,635
520,3066
521,4079
522,4263
523,1674
524,1052
525,4
526,323
527,911
528,469
529,5139
530,184
531,4
532,641
533,598
534,593
535,2122
536,2153
537,1790
538,1648
539,3591
540,1203
541,1347
542,14
543,2828
544,41
545,155
546,63
547,70
548,199
549,143
550,391
551,168
552,84
553,725
554,559
555,1529
556,523
557,213
558,103
559,19
560,28
561,102
562,58
563,189
564,208
565,327
566,944
567,137
568,231
569,219
570,23
571,858
572,139
573,4275
574,160
575,523
576,294
577,221
578,246
579,911
580,322
581,720
582,1595
583,4548
584,1047
585,285
586,647
587,222
588,72
589,61
590,74
591,42
592,18
593,255
594,39
595,13
596,27
597,16
598,141
599,107
600,2322
601,244
602,234
603,297
604,382
605,115
606,108
607,565
608,62
609,50
610,518
611,1529
612,279
613,188
614,275
615,57
616,228
617,478
618,205
619,833
620,42
621,48
622,70
623,151
624,152
625,1540
626,1111
627,192
628,455
629,551
630,63
631,3010
632,1066
633,676
634,87
635,102
636,122
637,128
638,274
639,43
640,43
641,45
642,33
643,66
644,11
645,630
646,111
647,136
648,19
649,183
650,647
651,78
652,222
653,175
654,328
655,231
656,448
657,1900
658,123
659,68
660,57
661,36
662,131
663,29
664,65
665,232
666,62
667,89
668,111
669,79
670,642
671,423
672,153
673,25
674,376
675,39
676,118
677,346
678,34
679,154
680,162
681,39
682,83
683,77
684,26
685,45
686,34
687,36
688,104
689,119
690,45
691,77
692,45
693,54
694,53
695,88
696,61
697,88
698,42
699,94
700,1300
701,54
702,58
703,126
704,327
705,387
706,43
707,412
708,110
709,148
710,29
711,26
712,366
713,116
714,230
715,73
716,39
717,16
718,117
719,56
720,441
721,325
722,115
723,48
724,42
725,227
726,102
727,159
728,1145
729,46
730,170
731,184
732,352
733,456
734,38
735,238
736,313
737,118
738,308
739,116
740,34
741,15
742,23
743,16
744,91
745,106
746,53
747,164
748,38
749,98
750,22
751,145
752,68
753,72
754,28
755,39
756,36
757,34
758,131
759,325
760,368
761,868
762,250
763,28
764,46
765,44
766,129
767,202
768,113
769,32
770,36
771,203
772,109
773,130
774,292
775,67
776,22
777,150
778,77
779,170
780,113
781,20
782,116
783,42
784,44
785,41
786,26
787,121
788,107
789,39
790,21
791,48
792,30
793,45
794,22
795,35
796,40
797,80
798,71
799,43
800,40
801,61
802,29
803,181
804,279
805,53
806,203
807,133
808,11
809,1052
810,24
811,54
812,18
813,82
814,62
815,354
816,63
817,42
818,42
819,52
820,20
821,33
822,31
823,34
824,352
825,342
826,5
827,44
828,16
829,74
830,47
831,74
832,83
833,48
834,67
835,44
836,25
837,25
838,35
839,13
840,29
841,21
842,69
843,112
844,28
845,53
846,37
847,7
848,112
849,134
850,87
851,20
852,33
853,36
854,20
855,75
856,30
857,43
858,16
859,78
860,27
861,171
862,44
863,168
864,131
865,8
866,18
867,34
868,23
869,29
870,40
871,82
872,378
873,909
874,274
875,59
876,36
877,5
878,135
879,207
880,57
881,26
882,80
883,42
884,52
885,7
886,38
887,94
888,20
889,74
890,54
891,56
892,50
893,105
894,52
895,119
896,85
897,71
898,38
899,88
900,48
901,45
902,17
903,52
904,277
905,43
906,99
907,18
908,115
909,40
910,39
911,302
912,100
913,39
914,120
915,174
916,30
917,20
918,15
919,21
920,47
921,224
922,1766
923,210
924,112
925,107
926,35
927,43
928,45
929,14
930,30
931,27
932,13
933,69
934,90
935,82
936,127
937,88
938,227
939,170
940,195
941,221
942,25
943,389
944,249
945,209
946,22
947,300
948,31
949,33
950,225
951,226
952,275
953,198
954,1071
955,1117
956,12
957,88
958,410
959,28
960,561
961,302
962,454
963,46
964,629
965,254
966,1460
967,743
968,360
969,63
970,922
971,751
972,1918
973,833
974,1548
975,19
976,79
977,16
978,59
979,81
980,110
981,25
982,410
983,3216
984,10
985,17
986,112
987,73
988,38
989,108
990,161
991,195
992,398
993,441
994,316
995,253
996,76
997,276
998,1414
999,84
1000,73
1001,26
1002,143
1003,128
1004,398
1005,53
1006,262
1007,142
1008,22
1009,250
1010,77
1011,1954
1012,1119
1013,609
1014,139
1015,22
1016,126
1017,604
1018,607
1019,109
1020,225
1021,175
1022,278
1023,214
1024,398
1025,291
1026,704
1027,5
1028,27
1029,138
1030,230
1031,175
1032,15
1033,209
1034,77
1035,39
1036,145
1037,266
1038,285
1039,92
1040,115
1041,201
1042,343
1043,10
1044,28
1045,1042
1046,333
1047,268
1048,60
1049,134
1050,71
1051,248
1052,231
1053,333
1054,221
1055,250
1056,57
1057,24
1058,104
1059,40
1060,204
1061,144
1062,124
1063,283
1064,45
1065,432
1066,68
1067,77
1068,31
1069,19
1070,90
1071,131
1072,141
1073,87
1074,262
1075,111
1076,79
1077,47
1078,27
1079,21
1080,54
1081,84
1082,48
1083,64
1084,161
1085,102
1086,60
1087,210
1088,60
1089,567
1090,106
1091,100
1092,382
1093,53
1094,91
1095,59
1096,108
1097,459
1098,91
1099,206
1100,51
1101,44
1102,105
1103,153
1104,367
1105,227
1106,412
1107,165
1108,56
1109,69
1110,29
1111,67
1112,31
1113,42
1114,35
1115,55
1116,94
1117,49
1118,191
1119,47
1120,116
1121,369
1122,74
1123,1161
1124,2023
1125,427
1126,695
1127,1563
1128,389
1129,151
1130,73
1131,358
1132,576
1133,64
1134,712
1135,102
1136,109
1137,1982
1138,114
1139,908
1140,44
1141,70
1142,123
1143,182
1144,148
1145,35
1146,58
1147,24
1148,9
1149,100
1150,51
1151,51
1152,37
1153,29
1154,31
1155,57
1156,33
1157,28
1158,107
1159,16
1160,92
1161,277
1162,77
1163,90
1164,36
1165,50
1166,235
1167,202
1168,167
1169,74
1170,277
1171,32
1172,133
1173,225
1174,191
1175,96
1176,39
1177,197
1178,177
1179,945
1180,239
1181,155
1182,191
1183,152
1184,118
1185,95
1186,195
1187,38
1188,37
1189,39
1190,73
1191,19
1192,131
1193,350
1194,541
1195,225
1196,63
1197,43
1198,455
1199,245
1200,8
1201,16
1202,35
1203,38
1204,24
1205,9
1206,35
1207,18
1208,5
1209,6
1210,35
1211,119
1212,59
1213,59
1214,37
1215,7
1216,129
1217,258
1218,78
1219,44
1220,5
1221,181
1222,199
1223,49
1224,145
1225,96
1226,123
1227,153
1228,43
1229,31
1230,50
1231,77
1232,119
1233,46
1234,45
1235,23
1236,27
1237,38
1238,30
1239,154
1240,28
1241,22
1242,21
1243,17
1244,69
1245,200
1246,288
1247,225
1248,114
1249,129
1250,37
1251,401
1252,38
1253,436
1254,18
1255,429
1256,81
1257,53
1258,91
1259,279
1260,268
1261,33
1262,120
1263,283
1264,37
1265,199
1266,138
1267,129
1268,38
1269,23
1270,41
1271,29
1272,89
1273,20
1274,4
1275,4
1276,1
1277,5
1278,37
1279,6
1280,10
1281,17
1282,17
1283,8
1284,3
1285,12
1286,14
1287,18
1288,30
1289,58
1290,34
1291,29
1292,36
1293,52
1294,46
1295,20
1296,38
1297,28
1298,64
1299,77
1300,31
1301,84
1302,68
1303,22
1304,28
1305,65
1306,403
1307,196
1308,64
1309,93
1310,16
1311,25
1312,75
1313,24
1314,125
1315,37
1316,34
1317,23
1318,30
1319,24
1320,26
1321,23
1322,17
1323,17
1324,11
1325,6
1326,10
1327,8
1328,65
1329,64
1330,575
1331,34
1332,56
1333,33
1334,10
1335,16
1336,269
1337,120
1338,52
1339,83
1340,140
1341,130
1342,47
1343,274
1344,292
1345,185
1346,958
1347,81
1348,46
1349,585
1350,121
1351,360
1352,663
1353,128
1354,377
1355,119
1356,183
1357,39
1358,566
1359,62
1360,102
1361,59
1362,96
1363,61
1364,26
1365,16
1366,22
1367,87
1368,22
1369,22
1370,39
1371,33
1372,11
1373,30
1374,53
1375,26
1376,18
1377,24
1378,130
1379,20
1380,37
1381,24
1382,30
1383,22
1384,28
1385,22
1386,22
1387,21
1388,14
1389,34
1390,11
1391,56
1392,43
1393,118
1394,220
1395,136
1396,151
1397,67
1398,33
1399,124
1400,63
1401,84
1402,270
1403,254
1404,41
1405,74
1406,70
1407,49
1408,62
1409,269
1410,38
1411,11
1412,0
1413,68
1414,121
1415,36
1416,196
1417,59
1418,118
1419,29
1420,39
1421,11
1422,23
1423,43
1424,120
1425,41
1426,74
1427,47
1428,296
1429,105
1430,27
1431,21
1432,1
1433,50
1434,8
1435,403
1436,96
1437,168
1438,483
1439,473
1440,397
1441,398
1442,373
1443,173
1444,569
1445,1474
1446,969
1447,533
1448,162
1449,77
1450,124
1451,41
1452,85
1453,87
1454,97
1455,73
1456,45
1457,65
1458,32
1459,213
1460,159
1461,9
1462,73
1463,15
1464,28
1465,143
1466,990
1467,77
1468,1824
1469,84
1470,74
1471,1115
1472,166
1473,33
1474,28
1475,45
1476,205
1477,37
1478,21
1479,10
1480,76
1481,145
1482,58
1483,67
1484,127
1485,49
1486,24
1487,27
1488,26
1489,55
1490,96
1491,442
1492,151
1493,43
1494,2528
1495,124
1496,23
1497,70
1498,165
1499,35
1500,48
1501,24
1502,53
1503,20
1504,1893
1505,866
1506,243
1507,53
1508,44
1509,1100
1510,357
1511,1288
1512,799
1513,198
1514,1139
1515,161
1516,590
1517,648
1518,281
1519,112
1520,50
1521,2
1522,69
1523,42
1524,40
1525,136
1526,317
1527,95
1528,103
1529,76
1530,5
1531,79
1532,23
1533,1059
1534,1571
1535,34
1536,742
1537,540
1538,20
1539,563
1540,101
1541,44
1542,49
1543,348
1544,785
1545,150
1546,628
1547,2403
1548,3919
1549,1759
1550,2345
1551,6695
1552,2712
1553,1915
1554,254
1555,296
1556,805
1557,3345
1558,1847
1559,1108
1560,115
1561,843
1562,52
1563,784
1564,205
1565,1019
1566,85
1567,104
1568,282
1569,375
1570,712
1571,48
1572,51
1573,19
1574,66
1575,53
1576,32
1577,67
1578,1187
1579,6214
1580,722
1581,814
1582,2088
1583,868
1584,1675
1585,1094
1586,707
1587,2612
1588,1349
1589,1118
1590,42
1591,101
1592,56
1593,37
1594,39
1595,98
1596,30
1597,17
1598,37
1599,23
1600,44
1601,17
1602,54
1603,1518
1604,230
1605,463
1606,1257
1607,146
1608,1241
1609,223
1610,439
1611,763
1612,5434
1613,2966
1614,291
1615,9564
1616,3779
1617,869
1618,50
1619,60
1620,41
1621,35
1622,30
1623,62
1624,52
1625,212
1626,2333
1627,34
1628,1975
1629,211
1630,572
1631,29
1632,16
1633,23
1634,185
1635,20
1636,46
1637,1282
1638,273
1639,48
1640,126
1641,103
1642,238
1643,48
1644,50
1645,34
1646,37
1647,32
1648,3
1649,403
1650,174
1651,258
1652,481
1653,106
1654,718
1655,139
1656,220
1657,225
1658,91
1659,88
1660,260
1661,58
1662,36
1663,716
1664,656
1665,311
1666,752
1667,72
1668,1316
1669,268
1670,15
1671,257
1672,262
1673,955
1674,720
1675,487
1676,528
1677,67
1678,19
1679,88
1680,56
1681,38
1682,47
1683,33
1684,450
1685,217
1686,89
1687,63
1688,190
1689,55
1690,245
1691,141
1692,226
1693,24
1694,87
1695,171
1696,216
1697,40
1698,180
1699,209
1700,46
1701,41
1702,39
1703,1023
1704,6
1705,29
1706,62
1707,347
1708,7
1709,21
1710,35
1711,31
1712,32
1713,9
1714,45
1715,72
1716,128
1717,583
1718,1766
1719,161
1720,349
1721,122
1722,53
1723,80
1724,104
1725,105
1726,40
1727,51
1728,171
1729,85
1730,239
1731,216
1732,46
1733,1878
1734,102
1735,75
1736,712
1737,115
1738,77
1739,24
1740,53
1741,50
1742,20
1743,54
1744,12
1745,56
1746,59
1747,26
1748,123
1749,69
1750,114
1751,58
1752,268
1753,47
1754,51
1755,121
1756,15
1757,160
1758,55
1759,141
1760,110
1761,35
1762,6
1763,50
1764,15
1765,28
1766,35
1767,68
1768,65
1769,300
1770,134
1771,9
1772,120
1773,78
1774,98
1775,22
1776,384
1777,176
1778,358
1779,281
1780,70
1781,468
1782,121
1783,174
1784,32
1785,71
1786,28
1787,12
1788,73
1789,214
1790,75
1791,146
1792,312
1793,321
1794,490
1795,228
1796,3844
1797,1081
1798,236
1799,105
1800,58
1801,342
1802,238
1803,65
1804,248
1805,53
1806,34
1807,55
1808,30
1809,167
1810,63
1811,420
1812,181
1813,62
1814,34
1815,56
1816,60
1817,58
1818,49
1819,27
1820,50
1821,180
1822,59
1823,100
1824,32
1825,37
1826,34
1827,67
1828,26
1829,3
1830,86
1831,320
1832,190
1833,120
1834,204
1835,79
1836,472
1837,186
1838,116
1839,35
1840,105
1841,176
1842,32
1843,44
1844,163
1845,26
1846,230
1847,116
1848,280
1849,146
1850,37
1851,7
1852,6
1853,37
1854,220
1855,274
1856,33
1857,127
1858,94
1859,42
1860,21
1861,182
1862,26
1863,58
1864,86
1865,41
1866,160
1867,72
1868,210
1869,265
1870,94
1871,63
1872,232
1873,75
1874,8
1875,22
1876,28
1877,126
1878,288
1879,410
1880,438
1881,4
1882,129
1883,36
1884,124
1885,41
1886,50
1887,40
1888,18
1889,40
1890,17
1891,13
1892,14
1893,3
1894,56
1895,5
1896,16
1897,393
1898,0
1899,6
1900,24
1901,47
1902,47
1903,211
1904,16
1905,16
1906,24
1907,97
1908,83
1909,54
1910,391
1911,44
1912,62
1913,92
1914,10
1915,77
1916,15
1917,16
1918,62
1919,112
1920,21
1921,18
1922,51
1923,34
1924,17
1925,61
1926,61
1927,38
1928,37
1929,424
1930,386
1931,638
1932,162
1933,16
1934,94
1935,29
1936,132
1937,154
1938,27
1939,94
1940,18
1941,80
1942,39
1943,26
1944,8
1945,104
1946,35
1947,13
1948,10
1949,11
1950,105
1951,17
1952,38
1953,64
1954,30
1955,42
1956,199
1957,55
1958,262
1959,94
1960,35
1961,23
1962,171
1963,7
1964,30
1965,86
1966,252
1967,28
1968,91
1969,397
1970,236
1971,311
1972,51
1973,129
1974,74
1975,3
1976,219
1977,89
1978,133
1979,87
1980,59
1981,117
1982,111
1983,147
1984,118
1985,63
1986,11
1987,113
1988,158
1989,50
1990,359
1991,205
1992,16
1993,20
1994,6
1995,34
1996,25
1997,11
1998,116
1999,53
2000,39
2001,23
2002,36
2003,58
2004,79
2005,128
2006,71
2007,140
2008,558
2009,69
2010,53
2011,107
2012,58
2013,36
2014,193
2015,52
2016,19
2017,21
2018,0
2019,54
2020,18
2021,68
2022,42
2023,39
2024,62
2025,25
2026,49
2027,32
2028,157
2029,62
2030,60
2031,49
2032,49
2033,133
2034,27
2035,56
2036,55
2037,19
2038,46
2039,86
2040,22
2041,13
2042,9
2043,5
2044,31
2045,46
2046,37
2047,3
2048,20
2049,33
2050,5
2051,44
2052,9
2053,11
2054,12
2055,11
2056,25
2057,34
2058,15
2059,42
2060,1266
2061,34
2062,13
2063,65
2064,31
2065,37
2066,157
2067,757
2068,39
2069,366
2070,502
2071,19
2072,19
2073,6
2074,13
2075,5
2076,11
2077,83
2078,31
2079,58
2080,62
2081,3
2082,91
2083,36
2084,206
2085,284
2086,64
2087,117
2088,30
2089,1
2090,22
2091,11
2092,14
2093,23
2094,14
2095,12
2096,5
2097,12
2098,23
2099,405
2100,372
2101,50
2102,17
2103,7
2104,9
2105,29
2106,39
2107,44
2108,33
2109,120
2110,33
2111,48
2112,9
2113,28
2114,42
2115,42
2116,19
2117,58
2118,289
2119,111
2120,8
2121,151
2122,68
2123,68
2124,7
2125,51
2126,153
2127,327
2128,70
2129,117
2130,43
2131,31
2132,26
2133,12
2134,12
2135,187
2136,39
2137,4
2138,23
2139,57
2140,41
2141,6
2142,33
2143,23
2144,17
2145,277
2146,127
2147,26
2148,69
2149,19
2150,18
2151,35
2152,59
2153,54
2154,24
2155,46
2156,9
2157,15
2158,47
2159,19
2160,21
2161,28
2162,44
2163,40
2164,345
2165,15
2166,68
2167,102
2168,23
2169,52
2170,96
2171,122
2172,153
2173,2
2174,26
2175,27
2176,76
2177,34
2178,16
2179,14
2180,32
2181,64
2182,124
2183,256
2184,119
2185,128
2186,172
2187,108
2188,271
2189,66
2190,93
2191,312
2192,215
2193,67
2194,210
2195,161
2196,32
2197,17
2198,47
2199,125
2200,179
2201,23
2202,19
2203,49
2204,43
2205,52
2206,22
2207,20
2208,9
2209,3
2210,16
2211,9
2212,21
2213,33
2214,70
2215,59
2216,69
2217,51
2218,50
2219,7
2220,28
2221,68
2222,70
2223,9
2224,52
2225,7
2226,46
2227,72
2228,34
2229,49
2230,32
2231,69
2232,10
2233,35
2234,82
2235,37
2236,214
2237,14
2238,36
2239,7
2240,32
2241,38
2242,88
2243,9
2244,176
2245,24
2246,51
2247,35
2248,10
2249,58
2250,109
2251,309
2252,209
2253,103
2254,51
2255,304
2256,66
2257,2277
2258,123
2259,162
2260,55
2261,22
2262,31
2263,5
2264,61
2265,28
2266,23
2267,56
2268,93
2269,63
2270,627
2271,75
2272,141
2273,246
2274,17
2275,71
2276,361
2277,475
2278,121
2279,564
2280,389
2281,1192
2282,350
2283,322
2284,162
2285,58
2286,46
2287,106
2288,99
2289,17
2290,16
2291,47
2292,152
2293,204
2294,49
2295,808
2296,276
2297,406
2298,641
2299,459
2300,115
2301,78
2302,76
2303,19
2304,231
2305,134
2306,32
2307,387
2308,33
2309,83
2310,211
2311,432
2312,83
2313,24
2314,151
2315,46
2316,133
2317,36
2318,775
2319,270
2320,340
2321,346
2322,359
2323,259
2324,344
2325,139
2326,114
2327,117
2328,50
2329,172
2330,61
2331,33
2332,0
2333,1
2334,15
2335,3
2336,38
2337,24
2338,11
2339,34
2340,24
2341,42
2342,5
2343,28
2344,37
2345,33
2346,9
2347,9
2348,28
2349,22
2350,230
2351,60
2352,223
2353,201
2354,32
2355,165
2356,115
2357,272
2358,26
2359,40
2360,22
2361,20
2362,17
2363,137
2364,55
2365,61
2366,159
2367,107
2368,62
2369,38
2370,35
2371,143
2372,30
2373,209
2374,79
2375,63
2376,55
2377,44
2378,3
2379,32
2380,31
2381,1
2382,2
2383,92
2384,53
2385,31
2386,28
2387,71
2388,233
2389,173
2390,375
2391,275
2392,654
2393,85
2394,672
2395,442
2396,212
2397,410
2398,165
2399,186
2400,259
2401,272
2402,129
2403,418
2404,68
2405,95
2406,104
2407,138
2408,100
2409,147
2410,181
2411,175
2412,57
2413,272
2414,443
2415,127
2416,97
2417,71
2418,147
2419,123
2420,94
2421,215
2422,24
2423,119
2424,57
2425,176
2426,41
2427,317
2428,94
2429,41
2430,47
2431,53
2432,69
2433,19
2434,68
2435,20
2436,26
2437,28
2438,74
2439,4
2440,554
2441,526
2442,129
2443,60
2444,164
2445,45
2446,21
2447,16
2448,12
2449,6
2450,25
2451,52
2452,46
2453,140
2454,51
2455,72
2456,51
2457,18
2458,18
2459,34
2460,35
2461,17
2462,4
2463,9
2464,28
2465,98
2466,21
2467,35
2468,181
2469,63
2470,150
2471,51
2472,43
2473,294
2474,173
2475,16
2476,434
2477,106
2478,35
2479,247
2480,51
2481,725
2482,60
2483,24
2484,24
2485,51
2486,171
2487,32
2488,94
2489,37
2490,121
2491,65
2492,73
2493,209
2494,198
2495,39
2496,93
2497,27
2498,49
2499,91
2500,39
2501,30
2502,53
2503,22
2504,25
2505,87
2506,56
2507,28
2508,74
2509,21
2510,90
2511,244
2512,74
2513,76
2514,90
2515,137
2516,33
2517,194
2518,24
2519,22
2520,158
2521,47
2522,3
2523,271
2524,92
2525,24
2526,146
2527,82
2528,56
2529,6
2530,138
2531,45
2532,46
2533,53
2534,101
2535,51
2536,93
2537,135
2538,32
2539,14
2540,79
2541,66
2542,41
2543,12
2544,25
2545,28
2546,2
2547,2
2548,5
2549,91
2550,46
2551,17
2552,43
2553,26
2554,124
2555,22
2556,36
2557,87
2558,83
2559,51
2560,16
2561,282
2562,92
2563,19
2564,2450
2565,539
2566,125
2567,38
2568,8
2569,158
2570,744
2571,1049
2572,263
2573,193
2574,48
2575,93
2576,151
2577,47
2578,54
2579,96
2580,128
2581,113
2582,96
2583,98
2584,253
2585,68
2586,432
