Index,Value
1,0
2,21
3,1
4,16
5,0
6,1
7,0
8,2
9,1
10,0
11,1
12,24
13,1
14,1
15,1
16,23
17,3
18,0
19,2
20,0
21,1
22,2
23,50
24,1
25,2
26,2
27,1
28,0
29,3
30,0
31,130
32,2
33,0
34,0
35,1
36,34
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,26
50,4
51,6
52,11
53,0
54,0
55,1
56,1
57,0
58,0
59,5
60,0
61,4
62,8
63,8
64,0
65,2
66,1
67,1
68,2
69,107
70,0
71,2
72,0
73,229
74,2
75,0
76,843
77,3
78,4
79,2
80,1
81,0
82,1
83,1
84,0
85,2
86,15
87,14
88,1
89,1
90,1
91,14
92,3
93,9
94,0
95,0
96,1
97,0
98,0
99,1
100,8
101,5
102,3
103,0
104,0
105,0
106,2
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,11
124,7
125,3
126,2
127,5
128,10
129,1
130,2
131,0
132,0
133,8
134,1
135,1
136,4
137,2
138,5
139,0
140,2
141,0
142,2
143,1
144,1
145,1
146,4
147,0
148,1
149,0
150,1
151,0
152,15
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,74
164,0
165,0
166,4
167,3
168,4
169,0
170,9
171,1
172,1
173,0
174,131
175,9
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,2
186,4
187,2
188,3
189,2
190,3
191,2
192,1
193,1
194,0
195,0
196,0
197,324
198,0
199,1
200,0
201,434
202,0
203,0
204,1
205,4
206,0
207,1
208,3
209,6
210,2
211,2
212,2
213,0
214,0
215,0
216,0
217,0
218,2
219,1
220,0
221,2
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,19
230,0
231,2
232,0
233,0
234,284
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,3
245,18
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,0
254,3
255,0
256,78
257,0
258,0
259,0
260,153
261,0
262,0
263,1
264,0
265,0
266,1
267,0
268,2
269,1
270,0
271,1
272,65
273,1
274,0
275,0
276,3
277,0
278,9
279,2
280,4
281,24
282,118
283,1
284,0
285,1
286,1
287,0
288,0
289,3
290,0
291,0
292,2
293,0
294,0
295,0
296,1
297,0
298,7
299,2
300,0
301,26730
302,0
303,0
304,3
305,0
306,0
307,9
308,0
309,13
310,3
311,2
312,2
313,0
314,0
315,102
316,1
317,1
318,0
319,0
320,0
321,1
322,3
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,84
332,2
333,3
334,1
335,0
336,56
337,58
338,1
339,84
340,1
341,26
342,0
343,2
344,1
345,0
346,59
347,1
348,16
349,15
350,1
351,0
352,3
353,0
354,0
355,2
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,43
365,0
366,0
367,15
368,0
369,1
370,0
371,5
372,0
373,1
374,1
375,0
376,0
377,1
378,0
379,166
380,65
381,1
382,1
383,0
384,1
385,3
386,2
387,28
388,3
389,144
390,0
391,1
392,2
393,1
394,0
395,13
396,3
397,3
398,3
399,128
400,3
401,0
402,1
403,3
404,0
405,0
406,1
407,3
408,2
409,1
410,3
411,2
412,0
413,0
414,13
415,2
416,1
417,0
418,0
419,1
420,0
421,1
422,0
423,25
424,0
425,2
426,0
427,5
428,11
429,5
430,11
431,8
432,12
433,7
434,0
435,268
436,276
437,393
438,1136
439,0
440,490
441,1
442,539
443,99
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,146
454,1
455,0
456,374
457,0
458,1
459,0
460,0
461,295
462,117
463,368
464,0
465,0
466,0
467,0
468,1
469,0
470,83
471,317
472,11
473,11
474,29
475,0
476,9
477,0
478,1001
479,0
480,0
481,1
482,0
483,4
484,0
485,3
486,0
487,10
488,0
489,0
490,1
491,0
492,0
493,2
494,0
495,0
496,0
497,0
498,90
499,0
500,0
501,2
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,73
510,0
511,78
512,2175
513,7
514,7
515,2
516,0
517,0
518,0
519,0
520,0
521,0
522,264
523,0
524,3
525,1159
526,0
527,0
528,5905
529,580
530,0
531,302
532,0
533,414
534,7
535,0
536,6781
537,195
538,153
539,152
540,768
541,246
542,127
543,7680
544,0
545,1970
546,0
547,0
548,0
549,1
550,32
551,2
552,2
553,1
554,12
555,2
556,0
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,20
567,0
568,2
569,30
570,2
571,199
572,1
573,0
574,10
575,1
576,0
577,101
578,0
579,0
580,1
581,136
582,0
583,35
584,0
585,1
586,252
587,1
588,2
589,9
590,0
591,0
592,0
593,1
594,0
595,0
596,23
597,3
598,0
599,5
600,2
601,91
602,35
603,3
604,50
605,2
606,0
607,13
608,0
609,4294
610,0
611,1641
612,517
613,2
614,11
615,0
616,0
617,0
618,2
619,3
620,0
621,29
622,0
623,0
624,0
625,58
626,0
627,0
628,64
629,0
630,0
631,172
632,156
633,0
634,0
635,784
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,51
644,1
645,0
646,1
647,0
648,1
649,579
650,1549
651,44
652,270
653,197
654,0
655,429
656,79
657,273
658,8
659,0
660,0
661,1
662,1
663,1
664,0
665,30
666,411
667,5
668,6
669,5
670,34
671,1497
672,143
673,0
674,0
