Index,Value
1,479
2,730
3,805
4,846
5,341
6,353
7,51
8,410
9,343
10,128
11,523
12,466
13,675
14,521
15,572
16,502
17,1025
18,114
19,565
20,888
21,643
22,478
23,832
24,703
25,660
26,703
27,675
28,144
29,646
30,37
31,446
32,427
33,219
34,359
35,595
36,135
37,485
38,982
39,578
40,581
41,395
42,601
43,509
44,260
45,472
46,330
47,551
48,369
49,259
50,197
51,202
52,172
53,92
54,261
55,386
56,297
57,375
58,430
59,249
60,260
61,436
62,381
63,310
64,377
65,418
66,426
67,827
68,468
69,97
70,394
71,415
72,0
73,536
74,327
75,236
76,143
77,382
78,379
79,604
80,628
81,277
82,221
83,525
84,631
85,483
86,786
87,418
88,257
89,341
90,302
91,798
92,761
93,1083
94,374
95,302
96,327
97,303
98,595
99,294
100,724
101,395
102,590
103,403
104,91
105,3
106,171
107,259
108,138
109,110
110,119
111,496
112,146
113,162
114,122
115,95
116,200
117,223
118,242
119,291
120,152
121,142
122,89
123,285
124,244
125,232
126,144
127,265
128,457
129,316
130,399
131,335
132,303
133,366
134,342
135,350
136,331
137,316
138,334
139,302
140,279
141,237
142,217
143,307
144,277
145,280
146,235
147,301
148,380
149,263
150,305
151,73
152,147
153,368
154,298
155,225
156,260
157,358
158,281
159,368
160,310
161,265
162,306
163,273
164,280
165,308
166,339
167,340
168,277
169,375
170,353
171,322
172,481
173,184
174,0
175,526
176,563
177,250
178,176
179,149
180,254
181,129
182,303
183,268
184,288
185,296
186,252
187,166
188,244
189,144
190,250
191,301
192,231
193,151
194,197
195,146
196,195
197,168
198,175
199,576
200,297
201,333
202,701
203,223
204,250
205,379
206,182
207,228
208,236
209,247
210,327
211,288
212,240
213,213
214,338
215,94
216,171
217,345
218,312
219,518
220,209
221,248
222,228
223,150
224,291
225,145
226,172
227,185
228,232
229,231
230,0
231,445
232,0
233,376
234,507
235,350
236,337
237,338
238,261
239,616
240,306
241,486
242,768
243,516
244,628
245,459
246,665
247,298
248,529
249,262
250,452
251,140
252,9
253,13
254,54
255,0
256,467
257,45
258,162
259,1
260,272
261,29
262,314
263,264
264,397
265,131
266,258
267,303
268,176
269,187
270,95
271,390
272,223
273,292
274,334
275,258
276,159
277,158
278,348
279,157
280,403
281,897
282,667
283,419
284,242
285,377
286,166
287,99
288,93
289,805
290,31
291,136
292,270
293,169
294,392
295,379
296,298
297,374
298,198
299,697
300,157
301,0
302,0
303,0
304,1331
305,48
306,187
307,1217
308,8
309,510
310,191
311,711
312,776
313,463
314,682
315,250
316,1004
317,390
318,505
319,409
320,287
321,325
322,893
323,433
324,645
325,498
326,371
327,140
328,247
329,1
330,0
331,112
332,698
333,716
