Index,Value
1,6
2,6
3,16
4,8
5,12
6,3
7,14
8,3
9,3
10,6
11,3
12,7
13,2
14,2
15,1
16,17
17,36
18,16
19,7
20,32
21,7
22,2
23,9
24,24
25,12
26,10
27,7
28,0
29,3
30,8
31,42
32,15
33,11
34,3
35,7
36,3
37,4
38,7
39,6
40,2
41,9
42,5
43,7
44,3
45,9
46,1
47,4
48,4
49,8
50,0
51,4
52,1
53,3
54,2
55,3
56,5
57,2
58,2
59,2
60,3
61,4
62,8
63,1
64,2
65,2
66,5
67,11
68,11
69,7
70,37
71,9
72,0
73,8
74,2
75,4
76,21
77,4
78,12
79,11
80,17
81,0
82,6
83,6
84,2
85,2
86,8
87,3
88,2
89,11
90,17
91,37
92,5
93,8
94,3
95,0
96,12
97,1
98,6
99,4
100,3
101,0
102,4
103,2
104,1
105,0
106,2
107,3
108,1
109,0
110,5
111,1
112,2
113,2
114,0
115,1
116,2
117,4
118,3
119,3
120,1
121,3
122,4
123,4
124,3
125,1
126,1
127,2
128,7
129,2
130,17
131,6
132,3
133,5
134,6
135,4
136,4
137,1
138,6
139,1
140,1
141,6
142,13
143,5
144,2
145,13
146,0
147,1
148,3
149,3
150,1
151,0
152,1
153,3
154,0
155,1
156,3
157,1
158,1
159,0
160,5
161,2
162,4
163,0
164,2
165,1
166,2
167,5
168,3
169,5
170,3
171,1
172,1
173,2
174,0
175,97
176,37
177,12
178,0
179,3
180,28
181,2
182,11
183,5
184,2
185,1
186,7
187,1
188,3
189,5
190,1
191,2
192,1
193,1
194,0
195,1
196,1
197,3
198,0
199,3
200,1
201,3
202,3
203,9
204,1
205,6
206,1
207,13
208,0
209,0
210,3
211,0
212,1
213,0
214,3
215,1
216,1
217,1
218,5
219,9
220,7
221,2
222,1
223,0
224,6
225,0
226,0
227,2
228,4
229,0
230,0
231,15
232,0
233,2
234,1
235,1
236,4
237,3
238,7
239,1
240,18
241,5
242,19
243,2
244,13
245,6
246,7
247,4
248,27
249,1
250,1
251,8
252,49
253,113
254,179
255,210
256,40
257,226
258,465
259,207
260,14
261,228
262,13
263,21
264,2
265,1
266,1
267,3
268,4
269,3
270,0
271,7
272,10
273,3
274,0
275,23
276,3
277,1
278,2
279,1
280,1
281,10
282,9
283,4
284,8
285,4
286,5
287,1
288,1
289,23
290,11
291,53
292,2
293,4
294,6
295,1
296,4
297,1
298,0
299,6
300,10
301,0
302,0
303,0
304,41
305,0
306,7
307,18
308,19
309,4
310,14
311,13
312,20
313,13
314,29
315,370
316,34
317,18
318,65
319,18
320,40
321,31
322,45
323,2
324,208
325,3
326,11
327,234
328,112
329,234
330,65
331,15
332,50
333,4
334,17
335,1418
336,412
337,55
338,14
339,9
340,6
341,53
342,203
343,33
344,3
345,1
346,1
347,0
348,6
349,7
350,21
351,91
352,34
353,10
354,1
355,4
356,7
357,5
358,2
359,15
360,104
361,11
362,21
363,41
364,0
365,11
366,0
367,2
368,0
369,0
370,6
371,0
372,2
373,9
374,1
375,0
376,2
377,2
378,4
379,1
380,4
381,2
382,8
383,63
384,68
385,16
386,14
387,55
388,7
389,104
390,84
391,5
392,2
393,4
394,115
395,197
396,5
397,8
398,16
399,2
400,17
401,17
402,33
403,510
404,174
405,105
406,26
407,1
408,2
409,4
410,9
411,5
412,4
413,2
414,0
415,0
416,6
417,2
418,1
419,36
420,1
421,4
422,3
423,20
424,2
425,12
426,24
427,11
428,9
429,7
430,151
431,56
432,159
433,145
434,273
435,76
436,35
437,24
438,40
439,1
440,14
441,65
442,128
443,195
444,59
445,2
446,57
447,29
448,7
449,5
450,24
451,4
452,16
453,13
454,11
455,13
456,10
457,11
458,9
459,9
460,30
461,26
462,103
463,4
464,2
465,8
466,2
467,7
468,10
469,29
470,55
471,10
472,3
473,185
474,48
475,15
476,16
477,1
478,16
479,9
480,370
481,12
482,36
483,3
484,5
485,24
486,13
487,37
488,18
489,33
490,9
491,17
492,3
493,18
494,14
495,40
496,5
497,6
498,13
499,19
500,9
501,14
502,13
503,58
504,12
505,12
506,8
507,2
508,8
509,139
510,68
511,3
512,29
513,57
514,64
515,35
516,8
517,0
518,149
519,204
520,425
521,78
522,32
523,11
524,0
