index,value
1,0
2,0
3,0
4,0
5,0
6,0
7,0.1954
8,0.1954
9,0
10,0
11,1
12,1
13,1
14,0.125
15,0.125
16,0.125
17,0.1811
18,0.1811
19,0.1811
20,0.1811
21,0.3333
22,0
23,0
24,0
25,0
26,0.8125
27,0.8125
28,0.8125
29,0.1954
30,0.1954
31,0.1954
32,0.8276
33,0.8276
34,0.8276
35,0.8276
36,0.8276
37,0.8276
38,1
39,0.5769
40,1
41,0.8
42,0.8
43,0.8
44,0.8276
45,0.1954
46,0
47,0
48,0
49,0
50,0.5
51,0.5
52,1
53,1
54,0
55,0
56,0.3333
57,1
58,1
59,1
60,1
61,1
62,0.5
63,0.5
64,0.8
65,0
66,0.8
67,0
68,0.0386
69,0
70,0.0386
71,0
72,0.0386
73,0.4091
74,0.4091
75,0.4091
76,0.4091
77,0.4091
78,0.4091
79,0.25
80,0.25
81,0.2857
82,0.2857
83,1
84,1
85,1
86,0.5769
87,0.2857
88,0.2857
89,0.2857
90,0.25
91,0.25
92,1
93,1
94,0.0386
95,0.0386
96,0.0386
97,0.8
98,0.8
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,0.1026
119,0.1026
120,0.8
121,0.1026
122,0.1026
123,0.5882
124,0.5882
125,0.5882
126,0.5882
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0.8571
136,0.8571
137,0.8571
138,0.8571
139,0.2188
140,0.2188
141,0.2188
142,0.2188
143,0.2188
144,0.2188
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,0.025
153,1
154,0.025
155,0.1346
156,0
157,0.1346
158,0
159,1
160,0.2188
161,1
162,0.2188
163,1
164,0.2188
165,1
166,0.8571
167,0
168,0.8571
169,0
170,0
171,0
172,0
173,0
174,0
175,0.0246
176,0.0246
177,0.0246
178,0.0246
179,0.0246
180,0.0246
181,0.1026
182,0.1026
183,0.1026
184,0.1026
185,0.1429
186,0.1429
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0.1364
204,0.1364
205,0.1364
206,0.1364
207,0.1364
