Index,Value
1,5
2,85
3,396
4,229
5,90
6,26
7,375
8,29
9,5
10,6
11,17
12,9
13,154
14,13
15,10
16,31
17,202
18,244
19,76
20,313
21,10
22,5
23,268
24,373
25,172
26,31
27,25
28,3
29,14
30,14
31,506
32,225
33,95
34,11
35,13
36,10
37,24
38,8
39,81
40,8
41,198
42,32
43,44
44,45
45,48
46,132
47,177
48,442
49,167
50,3
51,108
52,18
53,3
54,5
55,6
56,4
57,9
58,16
59,6
60,28
61,52
62,56
63,7
64,18
65,20
66,45
67,324
68,51
69,1671
70,320
71,91
72,0
73,41
74,2
75,234
76,95
77,72
78,43
79,43
80,38
81,36
82,4
83,57
84,11
85,6
86,62
87,148
88,10
89,9
90,436
91,131
92,67
93,173
94,9
95,21
96,155
97,39
98,72
99,62
100,17
101,46
102,26
103,3
104,0
105,0
106,1
107,18
108,1
109,151
110,122
111,27
112,10
113,46
114,4
115,0
116,1
117,10
118,78
119,15
120,27
121,21
122,28
123,7
124,13
125,1
126,3
127,6
128,18
129,39
130,176
131,36
132,56
133,34
134,75
135,82
136,10
137,44
138,7
139,32
140,2
141,139
142,39
143,57
144,19
145,13
146,6
147,22
148,6
149,9
150,4
151,4
152,64
153,7
154,4
155,2
156,9
157,4
158,3
159,2
160,14
161,20
162,20
163,17
164,14
165,6
166,10
167,18
168,114
169,40
170,59
171,77
172,58
173,44
174,54
175,167
176,248
177,11
178,7
179,18
180,91
181,104
182,163
183,9
184,21
185,10
186,237
187,22
188,2
189,56
190,23
191,90
192,6
193,0
194,81
195,4
196,2
197,2
198,2
199,23
200,1
201,36
202,11
203,7
204,4
205,8
206,3
207,69
208,11
209,25
210,5
211,47
212,7
213,91
214,67
215,3
216,20
217,10
218,433
219,160
220,178
221,31
222,10
223,3
224,31
225,3
226,1
227,14
228,37
229,2
230,0
231,71
232,0
233,19
234,7
235,27
236,23
237,6
238,10
239,33
240,222
241,27
242,222
243,11
244,344
245,17
246,87
247,7
248,71
249,7
250,18
251,363
252,238
253,65
254,459
255,126
256,289
257,122
258,215
259,128
260,6
261,71
262,24
263,7
264,4
265,1
266,7
267,45
268,33
269,9
270,76
271,13
272,217
273,108
274,44
275,148
276,1
277,2
278,148
279,30
280,217
281,147
282,895
283,11
284,73
285,127
286,35
287,82
288,143
289,1317
290,14
291,24
292,4
293,21
294,29
295,70
296,16
297,6
298,3
299,13
300,77
301,76
302,0
303,0
304,947
305,31
306,33
307,241
308,115
309,182
310,225
311,103
312,100
313,187
314,102
315,177
316,213
317,73
318,160
319,172
320,22
321,144
322,81
323,2
324,341
325,6
326,16
327,54
328,70
329,35
330,245
331,3
332,147
333,107
334,31
335,115
336,46
337,187
338,163
339,5
340,9
341,111
342,171
343,36
344,23
345,10
346,11
347,5
348,43
349,147
350,55
351,173
352,38
353,5
354,53
355,16
356,8
357,14
358,96
359,74
360,102
361,121
362,112
363,39
364,21
365,91
366,2
367,5
368,2
369,76
370,10
371,2
372,72
373,373
374,5
375,1
376,31
377,1
378,27
379,2
380,7
381,3
382,89
383,224
384,125
385,30
386,357
387,524
388,24
389,47
390,113
391,42
392,140
393,3
394,138
395,213
396,14
397,75
398,124
399,35
400,119
401,15
402,287
403,336
404,154
405,677
406,239
407,23
408,45
409,16
410,17
411,38
412,6
413,21
414,55
415,4
416,97
417,13
418,8
419,150
420,58
421,57
422,4
423,19
424,213
425,370
426,377
427,575
428,61
429,76
430,566
431,458
432,206
433,282
434,316
435,247
436,16
437,158
438,832
439,17
440,338
441,259
442,433
443,153
444,178
445,4
446,49
447,51
448,265
449,98
450,191
451,37
452,103
453,99
454,52
455,57
456,39
457,23
458,135
459,150
460,269
461,126
462,72
463,19
464,29
465,116
466,14
467,90
468,236
469,294
470,261
471,110
472,73
473,52
474,51
475,233
476,108
477,13
478,777
479,315
480,358
481,88
482,120
483,547
484,228
485,307
486,121
487,28
488,17
489,29
490,44
491,63
492,70
493,129
494,38
495,97
496,20
497,43
498,271
499,453
500,1179
501,436
502,1013
503,1338
504,252
505,43
506,74
507,553
508,181
509,446
510,199
511,515
512,386
513,702
514,590
515,438
516,209
517,0
518,76
519,253
520,423
521,214
522,577
523,239
524,32
525,0
526,58
527,178
528,93
529,352
530,21
531,1
532,96
533,25
534,165
535,81
536,319
537,79
538,151
539,114
540,81
541,151
