Index,Value
1,3
2,134
3,88
4,31
5,10
6,5
7,11
8,8
9,2
10,1
11,35
12,14
13,15
14,12
15,12
16,92
17,1024
18,62
19,49
20,95
21,22
22,4
23,26
24,7
25,9
26,5
27,12
28,1
29,10
30,13
31,143
32,7
33,12
34,2
35,8
36,3
37,5
38,21
39,12
40,4
41,6
42,7
43,8
44,6
45,24
46,4
47,5
48,20
49,19
50,4
51,3
52,9
53,1
54,1
55,2
56,6
57,5
58,1
59,3
60,8
61,10
62,26
63,3
64,1
65,8
66,9
67,8
68,16
69,3
70,127
71,9
72,0
73,9
74,1
75,7
76,75
77,7
78,29
79,13
80,13
81,3
82,0
83,8
84,6
85,4
86,3
87,6
88,3
89,4
90,9
91,8
92,74
93,40
94,2
95,3
96,15
97,2
98,26
99,31
100,11
101,8
102,5
103,1
104,3
105,0
106,1
107,4
108,2
109,0
110,2
111,3
112,0
113,2
114,2
115,1
116,0
117,4
118,1
119,21
120,1
121,4
122,2
123,4
124,3
125,4
126,4
127,3
128,1
129,41
130,36
131,5
132,0
133,6
134,8
135,11
136,6
137,7
138,8
139,5
140,1
141,8
142,5
143,2
144,10
145,4
146,4
147,4
148,6
149,2
150,3
151,0
152,1
153,2
154,0
155,6
156,4
157,7
158,3
159,2
160,3
161,4
162,4
163,2
164,4
165,2
166,1
167,5
168,3
169,9
170,5
171,4
172,3
173,4
174,1
175,17
176,12
177,4
178,0
179,3
180,10
181,17
182,16
183,0
184,5
185,2
186,1
187,2
188,3
189,2
190,7
191,3
192,8
193,1
194,1
195,3
196,0
197,2
198,2
199,34
200,4
201,18
202,7
203,8
204,0
205,3
206,0
207,2
208,8
209,10
210,40
211,14
212,3
213,4
214,3
215,2
216,5
217,4
218,46
219,49
220,10
221,2
222,3
223,1
224,3
225,2
226,2
227,3
228,1
229,7
230,0
231,5
232,0
233,4
234,6
235,7
236,5
237,4
238,7
239,7
240,16
241,5
242,21
243,11
244,26
245,5
246,16
247,4
248,14
249,2
250,1
251,10
252,47
253,47
254,40
255,182
256,29
257,51
258,95
259,41
260,6
261,45
262,8
263,7
264,3
265,1
266,17
267,6
268,2
269,2
270,1
271,2
272,4
273,4
274,1
275,4
276,3
277,1
278,6
279,2
280,13
281,23
282,12
283,10
284,8
285,6
286,5
287,13
288,13
289,29
290,1
291,15
292,1
293,2
294,5
295,7
296,5
297,11
298,1
299,9
300,2
301,0
302,0
303,0
304,32
305,0
306,4
307,32
308,27
309,9
310,10
311,14
312,71
313,16
314,72
315,186
316,30
317,71
318,161
319,10
320,13
321,25
322,17
323,3
324,113
325,8
326,8
327,68
328,52
329,141
330,49
331,5
332,84
333,54
